Fecha,Tipo de Animal,Cantidad de Citas
2023-01-01,Gato,5
2023-01-02,Perro,4
2023-01-03,Perro,4
2023-01-04,Perro,5
2023-01-05,Gato,5
2023-01-06,Gato,3
2023-01-07,Gato,5
2023-01-08,Perro,4
2023-01-09,Perro,6
2023-01-10,Perro,7
2023-01-11,Perro,2
2023-01-12,Gato,5
2023-01-13,Perro,5
2023-01-14,Perro,6
2023-01-15,Gato,4
2023-01-16,Gato,6
2023-01-17,Perro,6
2023-01-18,Gato,1
2023-01-19,Gato,7
2023-01-20,Perro,2
2023-01-21,Gato,11
2023-01-22,Gato,4
2023-01-23,Perro,3
2023-01-24,Perro,8
2023-01-25,Gato,3
2023-01-26,Perro,3
2023-01-27,Perro,5
2023-01-28,Perro,8
2023-01-29,Gato,3
2023-01-30,Gato,2
2023-01-31,Gato,5
2023-02-01,Gato,3
2023-02-02,Gato,8
2023-02-03,Gato,10
2023-02-04,Perro,3
2023-02-05,Gato,2
2023-02-06,Gato,5
2023-02-07,Gato,7
2023-02-08,Gato,6
2023-02-09,Gato,6
2023-02-10,Gato,2
2023-02-11,Perro,4
2023-02-12,Perro,9
2023-02-13,Perro,7
2023-02-14,Perro,11
2023-02-15,Perro,8
2023-02-16,Perro,3
2023-02-17,Perro,2
2023-02-18,Gato,3
2023-02-19,Perro,4
2023-02-20,Perro,5
2023-02-21,Perro,5
2023-02-22,Perro,4
2023-02-23,Gato,3
2023-02-24,Gato,8
2023-02-25,Gato,2
2023-02-26,Perro,1
2023-02-27,Gato,4
2023-02-28,Perro,5
2023-03-01,Perro,4
2023-03-02,Gato,3
2023-03-03,Gato,4
2023-03-04,Gato,8
2023-03-05,Gato,2
2023-03-06,Gato,2
2023-03-07,Gato,2
2023-03-08,Perro,7
2023-03-09,Perro,6
2023-03-10,Perro,7
2023-03-11,Perro,6
2023-03-12,Perro,7
2023-03-13,Gato,6
2023-03-14,Gato,4
2023-03-15,Perro,2
2023-03-16,Gato,3
2023-03-17,Perro,4
2023-03-18,Gato,7
2023-03-19,Perro,4
2023-03-20,Perro,3
2023-03-21,Perro,2
2023-03-22,Gato,6
2023-03-23,Perro,3
2023-03-24,Gato,5
2023-03-25,Gato,9
2023-03-26,Perro,6
2023-03-27,Perro,6
2023-03-28,Gato,9
2023-03-29,Gato,4
2023-03-30,Perro,9
2023-03-31,Perro,2
2023-04-01,Perro,10
2023-04-02,Gato,6
2023-04-03,Gato,9
2023-04-04,Perro,4
2023-04-05,Perro,1
2023-04-06,Perro,6
2023-04-07,Gato,8
2023-04-08,Gato,6
2023-04-09,Gato,2
2023-04-10,Gato,3
2023-04-11,Perro,5
2023-04-12,Gato,3
2023-04-13,Gato,3
2023-04-14,Gato,5
2023-04-15,Perro,6
2023-04-16,Gato,5
2023-04-17,Perro,3
2023-04-18,Perro,5
2023-04-19,Perro,3
2023-04-20,Gato,3
2023-04-21,Gato,6
2023-04-22,Perro,5
2023-04-23,Gato,6
2023-04-24,Perro,2
2023-04-25,Gato,4
2023-04-26,Gato,7
2023-04-27,Perro,6
2023-04-28,Gato,5
2023-04-29,Gato,4
2023-04-30,Perro,3
2023-05-01,Gato,3
2023-05-02,Gato,7
2023-05-03,Gato,7
2023-05-04,Gato,6
2023-05-05,Perro,6
2023-05-06,Perro,7
2023-05-07,Perro,8
2023-05-08,Gato,6
2023-05-09,Gato,3
2023-05-10,Gato,7
2023-05-11,Perro,5
2023-05-12,Perro,5
2023-05-13,Gato,7
2023-05-14,Gato,4
2023-05-15,Perro,9
2023-05-16,Perro,4
2023-05-17,Perro,5
2023-05-18,Gato,2
2023-05-19,Gato,6
2023-05-20,Perro,3
2023-05-21,Perro,6
2023-05-22,Gato,2
2023-05-23,Perro,3
2023-05-24,Gato,5
2023-05-25,Perro,3
2023-05-26,Perro,4
2023-05-27,Gato,5
2023-05-28,Gato,6
2023-05-29,Perro,3
2023-05-30,Perro,3
2023-05-31,Gato,4
2023-06-01,Gato,5
2023-06-02,Perro,4
2023-06-03,Gato,2
2023-06-04,Perro,6
2023-06-05,Perro,6
2023-06-06,Perro,8
2023-06-07,Gato,1
2023-06-08,Perro,6
2023-06-09,Perro,2
2023-06-10,Perro,5
2023-06-11,Gato,2
2023-06-12,Perro,6
2023-06-13,Gato,4
2023-06-14,Gato,3
2023-06-15,Perro,5
2023-06-16,Perro,6
2023-06-17,Gato,3
2023-06-18,Perro,4
2023-06-19,Perro,8
2023-06-20,Gato,4
2023-06-21,Gato,10
2023-06-22,Perro,4
2023-06-23,Gato,5
2023-06-24,Gato,10
2023-06-25,Perro,3
2023-06-26,Perro,4
2023-06-27,Perro,7
2023-06-28,Perro,5
2023-06-29,Perro,10
2023-06-30,Gato,4
2023-07-01,Gato,2
2023-07-02,Gato,3
2023-07-03,Perro,5
2023-07-04,Perro,8
2023-07-05,Perro,4
2023-07-06,Gato,3
2023-07-07,Perro,8
2023-07-08,Perro,6
2023-07-09,Perro,8
2023-07-10,Perro,3
2023-07-11,Perro,3
2023-07-12,Perro,5
2023-07-13,Gato,11
2023-07-14,Perro,7
2023-07-15,Gato,4
2023-07-16,Gato,3
2023-07-17,Perro,8
2023-07-18,Gato,8
2023-07-19,Gato,3
2023-07-20,Gato,3
2023-07-21,Gato,6
2023-07-22,Gato,2
2023-07-23,Perro,7
2023-07-24,Perro,5
2023-07-25,Perro,5
2023-07-26,Perro,6
2023-07-27,Perro,1
2023-07-28,Perro,10
2023-07-29,Gato,2
2023-07-30,Perro,5
2023-07-31,Gato,4
2023-08-01,Perro,5
2023-08-02,Perro,4
2023-08-03,Gato,5
2023-08-04,Gato,6
2023-08-05,Gato,1
2023-08-06,Gato,3
2023-08-07,Perro,2
2023-08-08,Perro,5
2023-08-09,Gato,4
2023-08-10,Gato,7
2023-08-11,Gato,7
2023-08-12,Gato,2
2023-08-13,Perro,6
2023-08-14,Gato,7
2023-08-15,Gato,2
2023-08-16,Gato,7
2023-08-17,Perro,5
2023-08-18,Gato,7
2023-08-19,Perro,6
2023-08-20,Perro,5
2023-08-21,Gato,6
2023-08-22,Gato,5
2023-08-23,Perro,4
2023-08-24,Perro,7
2023-08-25,Gato,1
2023-08-26,Perro,8
2023-08-27,Gato,4
2023-08-28,Gato,5
2023-08-29,Perro,3
2023-08-30,Gato,7
2023-08-31,Gato,2
2023-09-01,Gato,5
2023-09-02,Perro,10
2023-09-03,Gato,7
2023-09-04,Perro,7
2023-09-05,Perro,10
2023-09-06,Gato,1
2023-09-07,Perro,5
2023-09-08,Perro,3
2023-09-09,Gato,8
2023-09-10,Perro,7
2023-09-11,Perro,3
2023-09-12,Gato,1
2023-09-13,Gato,5
2023-09-14,Perro,3
2023-09-15,Perro,6
2023-09-16,Perro,3
2023-09-17,Gato,4
2023-09-18,Gato,5
2023-09-19,Gato,8
2023-09-20,Perro,7
2023-09-21,Perro,5
2023-09-22,Gato,4
2023-09-23,Gato,6
2023-09-24,Gato,8
2023-09-25,Gato,4
2023-09-26,Gato,3
2023-09-27,Perro,2
2023-09-28,Gato,3
2023-09-29,Perro,9
2023-09-30,Gato,5
2023-10-01,Gato,4
2023-10-02,Perro,7
2023-10-03,Perro,8
2023-10-04,Perro,4
2023-10-05,Gato,4
2023-10-06,Perro,8
2023-10-07,Gato,5
2023-10-08,Gato,5
2023-10-09,Perro,6
2023-10-10,Gato,7
2023-10-11,Perro,2
2023-10-12,Perro,1
2023-10-13,Gato,7
2023-10-14,Gato,5
2023-10-15,Perro,4
2023-10-16,Perro,4
2023-10-17,Perro,3
2023-10-18,Perro,8
2023-10-19,Gato,7
2023-10-20,Gato,1
2023-10-21,Perro,2
2023-10-22,Gato,4
2023-10-23,Gato,6
2023-10-24,Perro,4
2023-10-25,Perro,6
2023-10-26,Perro,8
2023-10-27,Gato,7
2023-10-28,Gato,5
2023-10-29,Gato,2
2023-10-30,Gato,1
2023-10-31,Gato,7
2023-11-01,Perro,4
2023-11-02,Perro,1
2023-11-03,Perro,6
2023-11-04,Gato,5
2023-11-05,Gato,8
2023-11-06,Gato,5
2023-11-07,Gato,4
2023-11-08,Perro,10
2023-11-09,Perro,7
2023-11-10,Perro,4
2023-11-11,Gato,8
2023-11-12,Gato,5
2023-11-13,Perro,5
2023-11-14,Gato,5
2023-11-15,Perro,2
2023-11-16,Gato,3
2023-11-17,Gato,4
2023-11-18,Gato,9
2023-11-19,Gato,0
2023-11-20,Gato,5
2023-11-21,Perro,5
2023-11-22,Gato,5
2023-11-23,Perro,5
2023-11-24,Gato,4
2023-11-25,Gato,9
2023-11-26,Gato,6
2023-11-27,Gato,2
2023-11-28,Perro,6
2023-11-29,Gato,6
2023-11-30,Perro,6
2023-12-01,Gato,5
2023-12-02,Gato,2
2023-12-03,Perro,5
2023-12-04,Gato,3
2023-12-05,Perro,3
2023-12-06,Perro,3
2023-12-07,Gato,6
2023-12-08,Perro,6
2023-12-09,Perro,4
2023-12-10,Perro,5
2023-12-11,Perro,5
2023-12-12,Gato,7
2023-12-13,Gato,5
2023-12-14,Perro,3
2023-12-15,Gato,4
2023-12-16,Perro,7
2023-12-17,Gato,5
2023-12-18,Gato,7
2023-12-19,Gato,8
2023-12-20,Perro,7
2023-12-21,Gato,5
2023-12-22,Perro,8
2023-12-23,Gato,4
2023-12-24,Perro,6
2023-12-25,Perro,8
2023-12-26,Perro,6
2023-12-27,Gato,3
2023-12-28,Perro,8
2023-12-29,Gato,4
2023-12-30,Gato,7
2023-12-31,Perro,2
